created_at,id,text,text_clean,probability,sentiment,timestamp
2021-06-11T12:01:26.000Z,1403321475008974850,"This design was designed by me for Elon Musk If you like this design, give a gift to Volt number below
addres twitter:@omidfadaei3
bscwallet:0x62DdfA7F910c5f637A31B35D4af42A0149b55354 https://t.co/PAen764Ahn","This design was designed by me for Elon Musk If you like this design, give a gift to Volt number below addres twitter: bscwallet:0x62DdfA7F910c5f637A31B35D4af42A0149b55354 ",0.8756782412528992,POSITIVE,2021-06-11 12:01:26
2021-06-11T12:01:24.000Z,1403321465596956675,Elon Musk Not Featured in The Bitcoin Mining Council https://t.co/BBhTZ7yd1o,Elon Musk Not Featured in The Bitcoin Mining Council ,0.9993948936462402,NEGATIVE,2021-06-11 12:01:24
2021-06-11T12:01:24.000Z,1403321464808304643,"Thanks so much Elon Musk!!

Sent 5 #eth got back 50! Highly recommended. #ethereum

#eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc
https://t.co/0YX5KEIyII",Thanks so much Elon Musk!! Sent 5 #eth got back 50! Highly recommended. #ethereum #eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc ,0.9983733892440796,POSITIVE,2021-06-11 12:01:24
2021-06-11T12:01:23.000Z,1403321463239843847,"RT @TeslaPodcast: Congrats @Tesla for delivering the first ever production vehicle with a 0-60 time under 2 seconds!

Oh and it has seating…",RT : Congrats Tesla for delivering the first ever production vehicle with a 0-60 time under 2 seconds! Oh and it has seating…,0.9992733597755432,POSITIVE,2021-06-11 12:01:23
2021-06-11T12:01:23.000Z,1403321460458889221,RT @DMC_Ryan: I’m mildly disoriented in the very best of ways after that. 😂 Holy sh*t @elonmusk @Tesla https://t.co/pFf9UATC9d,RT : I’m mildly disoriented in the very best of ways after that. 😂 Holy sh*t  Tesla ,0.995418906211853,NEGATIVE,2021-06-11 12:01:23
2021-06-11T12:01:23.000Z,1403321459385196549,$TSLA - Tesla introduces Model S Plaid at a splashy event https://t.co/ZytVHdf2LL,$TSLA - Tesla introduces Model S Plaid at a splashy event ,0.99676114320755,POSITIVE,2021-06-11 12:01:23
2021-06-11T12:01:22.000Z,1403321457589981184,"RT @DimaZeniuk: Blow up the internet today Model S Plaid!!!!!🚀🔋

0-60mph:🚗............... 1.99sec.

@elonmusk @Tesla https://t.co/7sbG5kBce2",RT : Blow up the internet today Model S Plaid!!!!!🚀🔋 0-60mph:🚗............... 1.99sec.  Tesla ,0.999935507774353,NEGATIVE,2021-06-11 12:01:22
2021-06-11T12:01:22.000Z,1403321455211913216,"RT @gregisenberg: Elon Musk often talks about hiring job candidates for “clear evidence of exceptional ability”

But how do you identify ex…",RT : Elon Musk often talks about hiring job candidates for “clear evidence of exceptional ability” But how do you identify ex…,0.8785766959190369,POSITIVE,2021-06-11 12:01:22
2021-06-11T12:01:21.000Z,1403321454733643781,"@kjvikramreddy @TeslaClubIN @elonmusk I really want a Tesla under 25L so it will make a difference in India.
This is only possible if a drastic change to the tax system is made for the  electric cars.",   I really want a Tesla under 25L so it will make a difference in India. This is only possible if a drastic change to the tax system is made for the electric cars.,0.9497947096824646,NEGATIVE,2021-06-11 12:01:21
2021-06-11T12:01:20.000Z,1403321448954011653,"RT @Bitboy_Crypto: I dropped ALOT  of hidden facts about Elon in my latest video, but did you know;

He's not the actual founder of Tesla.…","RT : I dropped ALOT of hidden facts about Elon in my latest video, but did you know; He's not the actual founder of Tesla.…",0.9985425472259521,NEGATIVE,2021-06-11 12:01:20
2021-06-11T12:01:20.000Z,1403321448903630849,RT @financialape: GME and AMC potentially being added to the Russell 1000 June 25th will increase IV for both stocks. Lots of buying pressu…,RT : GME and AMC potentially being added to the Russell 1000 June 25th will increase IV for both stocks. Lots of buying pressu…,0.7498055100440979,NEGATIVE,2021-06-11 12:01:20
2021-06-11T12:01:18.000Z,1403321440255057923,"I love that Tesla had their employees, in this case a mechanical engineer who works on the car, driving the guests around all night. What a company. ❤️😂😎🤘 https://t.co/LYQsIPW2gn","I love that Tesla had their employees, in this case a mechanical engineer who works on the car, driving the guests around all night. What a company. ❤️😂😎🤘 ",0.9990449547767639,POSITIVE,2021-06-11 12:01:18
2021-06-11T12:01:17.000Z,1403321437579005955,@1stMarsColonist @Krishell1985 @DimaZeniuk @elonmusk @Tesla @EvaFoxU @Kristennetten @dami_kolz @AustinTeslaClub @28delayslater @melaniemadri @Nikola_Truth @Model3Owners More like 0-60mph is slower than 0-100kmh (62mph). Might shock but the rest of the world does't use miles.,    Tesla         More like 0-60mph is slower than 0-100kmh (62mph). Might shock but the rest of the world does't use miles.,0.999804675579071,NEGATIVE,2021-06-11 12:01:17
2021-06-11T12:01:16.000Z,1403321431983722499,@elonmusk When can I pay for my Tesla using my doge coin @elonmusk, When can I pay for my Tesla using my doge coin ,0.9776056408882141,NEGATIVE,2021-06-11 12:01:16
2021-06-11T12:01:16.000Z,1403321430633156609,@BLKMDL3 @Tesla @elonmusk when will I get this to drive?, Tesla  when will I get this to drive?,0.9665741324424744,POSITIVE,2021-06-11 12:01:16
2021-06-11T12:01:15.000Z,1403321429769306113,RT @Anthea06274890: Every Tesla essentially runs off of fossil fuel. Lol I don't know what to say. The best part is that these people don't…,RT : Every Tesla essentially runs off of fossil fuel. Lol I don't know what to say. The best part is that these people don't…,0.957492470741272,NEGATIVE,2021-06-11 12:01:15
2021-06-11T12:01:15.000Z,1403321429454688256,"RT @stevenmarkryan: https://t.co/l3lhOdETed - HIGHLIGHTS: Tesla Model S Plaid Delivery Event

NEW

$TSLA @Tesla #Tela #PlaidS #PlaidModelS…",RT :  - HIGHLIGHTS: Tesla Model S Plaid Delivery Event NEW $TSLA Tesla #Tela #PlaidS #PlaidModelS…,0.9885743856430054,POSITIVE,2021-06-11 12:01:15
2021-06-11T12:01:12.000Z,1403321416636829696,@ZeroHedge_ @elonmusk @michael_saylor @nayibbukele Are sure that pig @elonmusk  hasn't sold ! I bet his government run tesla company sold btc,    Are sure that pig  hasn't sold ! I bet his government run tesla company sold btc,0.9999750852584839,NEGATIVE,2021-06-11 12:01:12
2021-06-11T12:01:12.000Z,1403321415437209606,"RT @PPathole: You can actually play Cyberpunk 2077 in a Tesla Model S. That's insane 🤯 @elonmusk 

https://t.co/Q0Huf0nm0z",RT : You can actually play Cyberpunk 2077 in a Tesla Model S. That's insane 🤯  ,0.6546339988708496,POSITIVE,2021-06-11 12:01:12
2021-06-11T12:01:12.000Z,1403321414426390529,RT @FrenchieEAP: Cyberpunk on Model S is super smooth. Tesla will release their own controller as well. Very impressive,RT : Cyberpunk on Model S is super smooth. Tesla will release their own controller as well. Very impressive,0.9996360540390015,POSITIVE,2021-06-11 12:01:12
2021-06-11T12:01:11.000Z,1403321412799143939,"RT @Tesmanian_com: Tesla Model 3 Is the Most Recommended Electric Vehicle in Germany 🇩🇪 

https://t.co/nSdstnqHQm",RT : Tesla Model 3 Is the Most Recommended Electric Vehicle in Germany 🇩🇪 ,0.9991567134857178,POSITIVE,2021-06-11 12:01:11
2021-06-11T12:01:11.000Z,1403321412622766090,Tesla Model S Plaid breaking the 2-second barrier for 0 to 60 mph. gusto ko to makita sa ph bago ako madeds https://t.co/EUBbL97FuU,Tesla Model S Plaid breaking the 2-second barrier for 0 to 60 mph. gusto ko to makita sa ph bago ako madeds ,0.8730037808418274,POSITIVE,2021-06-11 12:01:11
2021-06-11T12:01:10.000Z,1403321404779606018,RT @alistairmilne: Crous noted: “German media reports that Tesla’s factory in Brandenburg will consume about 3.6 million cubic metres of wa…,RT : Crous noted: “German media reports that Tesla’s factory in Brandenburg will consume about 3.6 million cubic metres of wa…,0.9961836934089661,NEGATIVE,2021-06-11 12:01:10
2021-06-11T12:01:09.000Z,1403321401671622661,"RT @Tesmanian_com: Tesla Model 3 Is Best-Selling EV in Spain 🇪🇸 in 2021 

https://t.co/RFKJLz6sEw",RT : Tesla Model 3 Is Best-Selling EV in Spain 🇪🇸 in 2021 ,0.9989604949951172,POSITIVE,2021-06-11 12:01:09
2021-06-11T12:01:09.000Z,1403321401604456453,"I think it's important that you really like whatever you doin'. Life is too short. 

🎥  | Watch &amp; listen to the whole 'Lofi Tesla Wave':
https://t.co/6zt7fGRIcv 👈

🎵  | music by: https://t.co/GxWMh8vHRm

#lifeisshort https://t.co/9kMDcARSHC",I think it's important that you really like whatever you doin'. Life is too short. 🎥 | Watch &amp; listen to the whole 'Lofi Tesla Wave':  👈 🎵 | music by:  #lifeisshort ,0.9628183841705322,NEGATIVE,2021-06-11 12:01:09
2021-06-11T12:01:08.000Z,1403321398655913985,RT @MotorTrend: The 2021 @LucidMotors Air electric sedan has the Tesla Model S in its crosshairs. https://t.co/yLQ1yxZLtE,RT : The 2021  Air electric sedan has the Tesla Model S in its crosshairs. ,0.9470933079719543,POSITIVE,2021-06-11 12:01:08
2021-06-11T12:01:08.000Z,1403321397347340290,@mykiimike @ealmonte0313 @1stMarsColonist @DimaZeniuk @elonmusk @Tesla @EvaFoxU @Kristennetten @dami_kolz @AustinTeslaClub @28delayslater @melaniemadri @Nikola_Truth @Model3Owners Not yet.....,     Tesla         Not yet.....,0.8479914665222168,POSITIVE,2021-06-11 12:01:08
2021-06-11T12:01:07.000Z,1403321394088251398,"Most people underestimate the importance of new UI imo. $TSLA converts its vehicles to devices on wheels and reiterates autonomy’s coming. #Tesla will take user attention from other devices. “Tesla App Store” potential endless. Entertainment, work aka “car office”, etc. https://t.co/JvOO9UcL6K","Most people underestimate the importance of new UI imo. $TSLA converts its vehicles to devices on wheels and reiterates autonomy’s coming. #Tesla will take user attention from other devices. “Tesla App Store” potential endless. Entertainment, work aka “car office”, etc. ",0.9868479371070862,POSITIVE,2021-06-11 12:01:07
2021-06-11T12:01:06.000Z,1403321389956931585,"RT @Teslarati: Who says the Cybertruck can’t be a serious work vehicle? It looks right at home in Giga Texas’ construction site!

Photo cre…",RT : Who says the Cybertruck can’t be a serious work vehicle? It looks right at home in Giga Texas’ construction site! Photo cre…,0.9992176294326782,POSITIVE,2021-06-11 12:01:06
2021-06-11T12:01:06.000Z,1403321389797588995,RT @lexfridman: Tesla Model S Plaid breaking the 2-second barrier for 0 to 60 mph is incredible engineering.,RT : Tesla Model S Plaid breaking the 2-second barrier for 0 to 60 mph is incredible engineering.,0.9935998916625977,POSITIVE,2021-06-11 12:01:06
2021-06-11T12:01:04.000Z,1403321380771401737,RT @Reuters: German environmental groups file objection against Tesla gigafactory permit https://t.co/yqEYBWeCl5 https://t.co/zKkoJvDzEj,RT : German environmental groups file objection against Tesla gigafactory permit  ,0.9977758526802063,NEGATIVE,2021-06-11 12:01:04
2021-06-11T12:01:04.000Z,1403321380112846854,"It's time to brighten up your weekend with Good and Bad PR! ☀

@SamSummersPR fills us in with the PR battle to watch this year, A criminal catching app and @elonmusk just can't seem to stay out of the spotlight! 🔦

Read it down below! 👇
#GoodPR #BadPR
https://t.co/gMiQ1V7F0u","It's time to brighten up your weekend with Good and Bad PR! ☀  fills us in with the PR battle to watch this year, A criminal catching app and  just can't seem to stay out of the spotlight! 🔦 Read it down below! 👇 #GoodPR #BadPR ",0.7887805104255676,POSITIVE,2021-06-11 12:01:04
2021-06-11T12:01:03.000Z,1403321379366215685,RT @UPBOptionMil: This Weeks Most Active Stock Options $CLOV $WISH $SNDL $AMC $TSLA $PLTR $AHT $AAPL https://t.co/6syby3Jf8X,RT : This Weeks Most Active Stock Options $CLOV $WISH $SNDL $AMC $TSLA $PLTR $AHT $AAPL ,0.9958847165107727,POSITIVE,2021-06-11 12:01:03
2021-06-11T12:01:02.000Z,1403321373930442756,RT @Reuters: German environmental groups file objection against Tesla gigafactory permit https://t.co/yqEYBWeCl5 https://t.co/zKkoJvDzEj,RT : German environmental groups file objection against Tesla gigafactory permit  ,0.9977758526802063,NEGATIVE,2021-06-11 12:01:02
2021-06-11T12:01:02.000Z,1403321372735070212,"RT @MattWallace888: @elonmusk Press retweet if you want to buy a #Tesla (possibly a Model S) with #Dogecoin!

Elon knows, but let’s get thi…","RT :  Press retweet if you want to buy a #Tesla (possibly a Model S) with #Dogecoin! Elon knows, but let’s get thi…",0.9997736811637878,NEGATIVE,2021-06-11 12:01:02
2021-06-11T12:01:00.000Z,1403321365902643208,"RT @Teslarati: Elon Musk shares some details about his primary home in Texas, and it is quite modest by billionaire standards. 

https://t.…","RT : Elon Musk shares some details about his primary home in Texas, and it is quite modest by billionaire standards. …",0.9884849190711975,POSITIVE,2021-06-11 12:01:00
2021-06-11T12:01:00.000Z,1403321364086333449,"The new #BMWi4 has arrived and it very well could be the electric car that threatens Tesla's dominance👑

Here are 10 things you should know about BMW's latest #EV 👉 https://t.co/GY9HLiAeCE https://t.co/5V3RoRvdui",The new #BMWi4 has arrived and it very well could be the electric car that threatens Tesla's dominance👑 Here are 10 things you should know about BMW's latest #EV 👉  ,0.8723070621490479,POSITIVE,2021-06-11 12:01:00
2021-06-11T12:00:59.000Z,1403321361670541312,Elon Musk unleashed ? https://t.co/hAnpfr7a6S,Elon Musk unleashed ? ,0.9937334656715393,POSITIVE,2021-06-11 12:00:59
2021-06-11T12:00:59.000Z,1403321360919810049,Spotted:  Kool-Aid being delivered to the Tesla event yesterday. https://t.co/NtgE6UOu01,Spotted: Kool-Aid being delivered to the Tesla event yesterday. ,0.8191300630569458,NEGATIVE,2021-06-11 12:00:59
2021-06-11T12:00:59.000Z,1403321359426637825,RT @DMC_Ryan: I’m mildly disoriented in the very best of ways after that. 😂 Holy sh*t @elonmusk @Tesla https://t.co/pFf9UATC9d,RT : I’m mildly disoriented in the very best of ways after that. 😂 Holy sh*t  Tesla ,0.995418906211853,NEGATIVE,2021-06-11 12:00:59
2021-06-11T12:00:58.000Z,1403321358482907136,"RT @MattWallace888: @elonmusk Press retweet if you want to buy a #Tesla (possibly a Model S) with #Dogecoin!

Elon knows, but let’s get thi…","RT :  Press retweet if you want to buy a #Tesla (possibly a Model S) with #Dogecoin! Elon knows, but let’s get thi…",0.9997736811637878,NEGATIVE,2021-06-11 12:00:58
2021-06-11T12:00:58.000Z,1403321358063484929,"@garyblack00 You're an idiot if you don't think this turns into more sales for tesla in the long run...   Forget the lambos, thats just the meme talk.   Shut the FUD up"," You're an idiot if you don't think this turns into more sales for tesla in the long run... Forget the lambos, thats just the meme talk. Shut the FUD up",0.9985038042068481,NEGATIVE,2021-06-11 12:00:58
2021-06-11T12:00:58.000Z,1403321355638960135,"Thanks so much Elon Musk!!

Sent 5 #eth got back 50! Highly recommended. #ethereum

#eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc
https://t.co/dDxcwZx6qT",Thanks so much Elon Musk!! Sent 5 #eth got back 50! Highly recommended. #ethereum #eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc ,0.9983733892440796,POSITIVE,2021-06-11 12:00:58
2021-06-11T12:00:58.000Z,1403321355534209027,RT @gate_io: Remember Elon Musk? https://t.co/rYTWY2oYBi,RT : Remember Elon Musk? ,0.9193795919418335,NEGATIVE,2021-06-11 12:00:58
2021-06-11T12:00:57.000Z,1403321351146856460,RT @Anthea06274890: Every Tesla essentially runs off of fossil fuel. Lol I don't know what to say. The best part is that these people don't…,RT : Every Tesla essentially runs off of fossil fuel. Lol I don't know what to say. The best part is that these people don't…,0.957492470741272,NEGATIVE,2021-06-11 12:00:57
2021-06-11T12:00:56.000Z,1403321346038419458,"RT @guidaautonoma: #Tesla Expands Advanced Driver Assistance Systems (ADAS) Test Operator Team Worldwide

https://t.co/GhuESkD6km
#SelfDriv…",RT : #Tesla Expands Advanced Driver Assistance Systems (ADAS) Test Operator Team Worldwide  #SelfDriv…,0.9978930354118347,POSITIVE,2021-06-11 12:00:56
2021-06-11T12:00:55.000Z,1403321342506700800,I can't I invested everything in #dogecoin $doge and tesla hasn't accept it  YEY ...... https://t.co/WdTdsc5V1U,I can't I invested everything in #dogecoin $doge and tesla hasn't accept it YEY ...... ,0.9998979568481445,NEGATIVE,2021-06-11 12:00:55
2021-06-11T12:00:54.000Z,1403321341151961090,"RT @flcnhvy: “This is like alien technology — it’s insane” — @elonmusk on Plaid

Game on 🔥",RT : “This is like alien technology — it’s insane” —  on Plaid Game on 🔥,0.9967124462127686,NEGATIVE,2021-06-11 12:00:54
2021-06-11T12:00:53.000Z,1403321336794169348,"RT @dogewoman92: Do you want Tesla to accept Dogecoin? #dogecoin

YES               YES             YES
👇                 👇             👇",RT : Do you want Tesla to accept Dogecoin? #dogecoin YES YES YES 👇 👇 👇,0.9169541001319885,NEGATIVE,2021-06-11 12:00:53
2021-06-11T12:00:50.000Z,1403321322726375429,a fucking tesla has better performance in games than my pc,a fucking tesla has better performance in games than my pc,0.9956355690956116,NEGATIVE,2021-06-11 12:00:50
2021-06-11T12:00:48.000Z,1403321312731406344,RT @SnazzyQ: I hope Tesla knows how to make full-self driving car software better than they know how to run a YouTube livestream.,RT : I hope Tesla knows how to make full-self driving car software better than they know how to run a YouTube livestream.,0.9886548519134521,POSITIVE,2021-06-11 12:00:48
2021-06-11T12:00:47.000Z,1403321311989059585,"My effective tax rate in the US, where I live, is just over seven times that of Elon Musk and 240 times (not a typo) that of the investor Warren Buffett. Jeff Bezos reported such a low income that he qualified for, and claimed, child tax credit in 2011. 👿
https://t.co/Z4nD5Znn1B","My effective tax rate in the US, where I live, is just over seven times that of Elon Musk and 240 times (not a typo) that of the investor Warren Buffett. Jeff Bezos reported such a low income that he qualified for, and claimed, child tax credit in 2011. 👿 ",0.9993414282798767,NEGATIVE,2021-06-11 12:00:47
2021-06-11T12:00:47.000Z,1403321311959650316,"Tesla shows off the $130,000 Model S Plaid's performance https://t.co/LMpkEcdyaD #tech","Tesla shows off the $130,000 Model S Plaid's performance  #tech",0.7169885635375977,POSITIVE,2021-06-11 12:00:47
2021-06-11T12:00:47.000Z,1403321310047051779,RT @EmmetPeppers: First tesla Plaid launch https://t.co/MLgWTKYN5T,RT : First tesla Plaid launch ,0.982586681842804,POSITIVE,2021-06-11 12:00:47
2021-06-11T12:00:47.000Z,1403321309212266497,"RT @TeslaratiTeam: Elon Musk unveils the new Model S Plaid, nearly 10 years after the first Signature S https://t.co/gPcMWhddm6","RT : Elon Musk unveils the new Model S Plaid, nearly 10 years after the first Signature S ",0.9980072379112244,POSITIVE,2021-06-11 12:00:47
2021-06-11T12:00:46.000Z,1403321306464997379,"RT @SigersonBell: MASSIVE ANNOUNCEMENT 
7PM (Specific, Pacific Time)
@Tesla is live streaming 

Pay very close attention #Dogecoin, the wor…","RT : MASSIVE ANNOUNCEMENT 7PM (Specific, Pacific Time) Tesla is live streaming Pay very close attention #Dogecoin, the wor…",0.5868808031082153,POSITIVE,2021-06-11 12:00:46
2021-06-11T12:00:46.000Z,1403321305294802949,"RT @alex_avoigt: Piece of Art

As often in Tesla Presentations, it gets very technical and many can't comprehend the significance but what…","RT : Piece of Art As often in Tesla Presentations, it gets very technical and many can't comprehend the significance but what…",0.9839432239532471,POSITIVE,2021-06-11 12:00:46
2021-06-11T12:00:46.000Z,1403321304187428868,"#Stocks making the biggest moves in the premarket: @SnowflakeDB, @VertexPharma, @Chewy &amp; more https://t.co/hVZ88kD8Nt $SNOW $VRTX $CHWY $PLAY $RCL $BIIB $AMC $GME $CLOV $TSLA $AAL $ELY $GRUB $AMEH $LTHM $MNDY","#Stocks making the biggest moves in the premarket: , ,  &amp; more  $SNOW $VRTX $CHWY $PLAY $RCL $BIIB $AMC $GME $CLOV $TSLA $AAL $ELY $GRUB $AMEH $LTHM $MNDY",0.7809522747993469,NEGATIVE,2021-06-11 12:00:46
2021-06-11T12:00:44.000Z,1403321298672103424,"RT @dogewoman92: Do you want Tesla to accept Dogecoin? #dogecoin

YES               YES             YES
👇                 👇             👇",RT : Do you want Tesla to accept Dogecoin? #dogecoin YES YES YES 👇 👇 👇,0.9169541001319885,NEGATIVE,2021-06-11 12:00:44
2021-06-11T12:00:44.000Z,1403321298101620737,"RT @WheereisWally: A great video from the premiere of the Tesla S Plaid model. Elon, as always, jokes a lot. He is great.

https://t.co/Vpa…","RT : A great video from the premiere of the Tesla S Plaid model. Elon, as always, jokes a lot. He is great. …",0.9993020296096802,POSITIVE,2021-06-11 12:00:44
2021-06-11T12:00:44.000Z,1403321297224933378,"RT @tonyeusoff: So SPM results are out today. Congratulations to all the boys and girls who did well. To those who didn't do too well, just…","RT : So SPM results are out today. Congratulations to all the boys and girls who did well. To those who didn't do too well, just…",0.6330248117446899,POSITIVE,2021-06-11 12:00:44
2021-06-11T12:00:44.000Z,1403321296881127426,@elonmusk i'm ready to own a tesla but all I have is doge., i'm ready to own a tesla but all I have is doge.,0.7561860680580139,NEGATIVE,2021-06-11 12:00:44
2021-06-11T12:00:43.000Z,1403321294641369094,"RT @stevenmarkryan: Autonomy is just around the corner... 

$TSLA https://t.co/tML41K1SK5",RT : Autonomy is just around the corner... $TSLA ,0.9296366572380066,NEGATIVE,2021-06-11 12:00:43
2021-06-11T12:00:43.000Z,1403321293085106176,"I want to change my Mod 3 to Mod Y. Why can't the autopilot software be converted? I still want to continue to support Tesla!
@elonmusk @Tesla  don't break my heart https://t.co/Q2FDiwudq9",I want to change my Mod 3 to Mod Y. Why can't the autopilot software be converted? I still want to continue to support Tesla!  Tesla don't break my heart ,0.9747718572616577,POSITIVE,2021-06-11 12:00:43
2021-06-11T12:00:42.000Z,1403321291382403075,Just read the instructions @tesla #plaid #yoke https://t.co/mv0PgZiAGN,Just read the instructions Tesla #plaid #yoke ,0.9924457669258118,NEGATIVE,2021-06-11 12:00:42
2021-06-11T12:00:42.000Z,1403321288966479875,"@Travis44254801 @Suzy2313922857 @TomCottonAR Biden isn’t trying to add 12 to 13 trillion and what jobs is he killing. The less than 2,000 temp jobs for the pipeline. So your telling me that Amazon, Walmart, Tesla and other big corporations are going to move because they have to pay some taxes.","   Biden isn’t trying to add 12 to 13 trillion and what jobs is he killing. The less than 2,000 temp jobs for the pipeline. So your telling me that Amazon, Walmart, Tesla and other big corporations are going to move because they have to pay some taxes.",0.9985033273696899,NEGATIVE,2021-06-11 12:00:42
2021-06-11T12:00:42.000Z,1403321288408502277,"Hot Stocks Level 2 ( $GME $SPY $BB $TSLA $VIX  &amp; $AMC) June 11, 2021 https://t.co/z1tWwJl3LJ","Hot Stocks Level 2 ( $GME $SPY $BB $TSLA $VIX &amp; $AMC) June 11, 2021 ",0.9402860999107361,NEGATIVE,2021-06-11 12:00:42
2021-06-11T12:00:41.000Z,1403321284608491524,RT @welovedogecoin1: We have been accepting #dogecoin  for a long time ....so #Tesla has no other choice .... SORRY ...welcome to the best…,RT : We have been accepting #dogecoin for a long time ....so #Tesla has no other choice .... SORRY ...welcome to the best…,0.8606712222099304,POSITIVE,2021-06-11 12:00:41
2021-06-11T12:00:41.000Z,1403321283983462400,"thanks Elon Musk for this ! sent 11.000 #doge got 110.000 back!  Awesome !

#eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc
https://t.co/Q1hbW8zP1X",thanks Elon Musk for this ! sent 11.000 #doge got 110.000 back! Awesome ! #eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc ,0.9397273659706116,POSITIVE,2021-06-11 12:00:41
2021-06-11T12:00:41.000Z,1403321283325145092,"@MilMileBattery @stephenpallotta @tesla_raj @Tesla @elonmusk Tesla is definitely moving into gaming in a big way. Sony Playstation. Microsoft Xbox, Tesla ___.","   Tesla  Tesla is definitely moving into gaming in a big way. Sony Playstation. Microsoft Xbox, Tesla ___.",0.9979378581047058,POSITIVE,2021-06-11 12:00:41
2021-06-11T12:00:39.000Z,1403321277092446226,"Admittedly, there were a few bullish things from Tesla’s unveil last night: 
✅No cars burst into flames
✅No wheels fell off while driving
✅No one was locked in a car and burned to death
✅No SUA into a wall
✅No FBI raid of Tesla during event","Admittedly, there were a few bullish things from Tesla’s unveil last night: ✅No cars burst into flames ✅No wheels fell off while driving ✅No one was locked in a car and burned to death ✅No SUA into a wall ✅No FBI raid of Tesla during event",0.9998437166213989,NEGATIVE,2021-06-11 12:00:39
2021-06-11T12:00:39.000Z,1403321274907103237,🥳 Celebrate Webull’s 3rd Anniversary! Complete tasks to spin the #Webull Anniversary Wheel and get a chance to win a TESLA MODEL 3! 🎉  https://t.co/KB5Psquasr,🥳 Celebrate Webull’s 3rd Anniversary! Complete tasks to spin the #Webull Anniversary Wheel and get a chance to win a TESLA MODEL 3! 🎉 ,0.9997089505195618,POSITIVE,2021-06-11 12:00:39
